Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
P1,21/01/2021,20:15,Guimaraes,Nacional,3,1,H,1,1,D,10,12,4,5,25,8,3,3,3,2,0,0,2.12,1.71
P1,24/01/2021,17:30,Moreirense,Portimonense,2,2,D,2,1,H,11,10,3,4,12,17,3,1,3,2,0,0,2.29,1.61
P1,24/01/2021,20:15,Famalicao,Guimaraes,0,1,A,0,1,A,11,9,5,3,17,17,7,4,2,4,0,0,2.13,1.69
P1,24/01/2021,15:00,Maritimo,Pacos Ferreira,0,3,A,0,1,A,13,11,4,5,15,27,5,2,2,3,0,0,2.6,1.47
P1,25/01/2021,16:30,Rio Ave,Santa Clara,1,2,A,1,1,D,11,12,5,5,13,16,6,2,6,1,0,0,2.29,1.6
P1,25/01/2021,14:30,Belenenses,Tondela,2,0,H,2,0,H,8,12,3,2,15,19,4,9,2,3,0,0,2.36,1.57
P1,25/01/2021,20:15,Farense,Porto,0,1,A,0,1,A,5,18,1,8,12,18,7,4,1,1,0,0,1.82,1.97
P1,25/01/2021,17:00,Benfica,Nacional,1,1,D,1,0,H,11,7,3,2,21,15,7,3,1,2,0,0,1.44,2.7
P1,26/01/2021,19:45,Sp Braga,Gil Vicente,1,0,H,0,0,D,13,6,1,0,16,12,7,4,5,1,0,0,1.8,2.01
P1,26/01/2021,21:15,Boavista,Sp Lisbon,0,2,A,0,1,A,7,14,3,6,25,13,4,8,2,2,0,0,1.86,1.94
P1,30/01/2021,15:30,Nacional,Famalicao,2,1,H,0,1,A,17,14,8,4,22,15,9,3,5,1,0,0,2.33,1.59
P1,30/01/2021,18:00,Tondela,Farense,2,0,H,0,0,D,7,10,2,2,23,16,5,5,5,1,0,0,2.17,1.67
P1,30/01/2021,20:30,Portimonense,Boavista,1,2,A,1,1,D,9,11,2,6,18,18,4,2,3,3,0,0,2.39,1.56
P1,31/01/2021,15:00,Guimaraes,Maritimo,1,0,H,0,0,D,13,9,4,5,23,18,7,1,2,2,0,0,2.21,1.65
P1,01/02/2021,17:00,Santa Clara,Belenenses,2,0,H,1,0,H,9,11,3,1,23,20,2,2,3,2,0,0,2.39,1.56
P1,01/02/2021,19:45,Moreirense,Sp Braga,0,4,A,0,3,A,14,14,4,7,8,20,5,5,2,1,0,0,1.81,1.99
P1,01/02/2021,19:00,Porto,Rio Ave,2,0,H,1,0,H,14,8,5,2,19,11,7,8,1,2,0,0,1.7,2.12
P1,01/02/2021,21:30,Sp Lisbon,Benfica,1,0,H,0,0,D,10,5,2,2,12,17,8,1,3,5,0,0,1.99,1.81
P1,02/02/2021,20:15,Gil Vicente,Pacos Ferreira,1,2,A,0,2,A,3,9,3,6,16,21,8,3,3,5,0,0,2.61,1.49
P1,04/02/2021,15:00,Farense,Santa Clara,1,1,D,1,0,H,16,11,4,3,15,17,11,7,0,3,0,0,2.34,1.59
P1,04/02/2021,19:00,Belenenses,Porto,0,0,D,0,0,D,6,16,0,6,12,13,2,10,4,2,0,0,1.82,1.98
P1,04/02/2021,21:00,Sp Braga,Portimonense,2,1,H,0,1,A,16,7,4,5,12,21,4,1,0,2,0,0,1.74,2.07
P1,04/02/2021,21:30,Famalicao,Moreirense,0,2,A,0,2,A,19,10,2,3,10,29,5,3,2,5,1,0,2.06,1.75
P1,05/02/2021,21:00,Boavista,Gil Vicente,1,2,A,1,1,D,16,12,5,5,11,24,3,5,2,3,0,0,2.46,1.53
P1,05/02/2021,19:00,Maritimo,Sp Lisbon,0,2,A,0,1,A,5,19,0,4,19,22,2,5,2,1,0,0,1.85,1.94
P1,05/02/2021,21:00,Pacos Ferreira,Tondela,2,1,H,1,0,H,9,8,3,3,23,14,3,3,2,1,0,0,2.03,1.78
P1,05/02/2021,17:00,Rio Ave,Nacional,0,0,D,0,0,D,15,18,4,7,14,25,5,3,2,2,0,0,2.37,1.56
P1,05/02/2021,19:00,Benfica,Guimaraes,0,0,D,0,0,D,22,5,5,2,14,19,9,2,1,2,0,0,1.72,2.1
P1,07/02/2021,20:45,Sp Braga,Porto,2,2,D,0,1,A,15,10,5,3,18,18,6,5,3,3,0,1,1.82,1.97
P1,08/02/2021,19:00,Benfica,Famalicao,2,0,H,2,0,H,13,10,5,5,22,12,4,1,3,2,0,0,1.51,2.51
P1,08/02/2021,19:00,Maritimo,Santa Clara,1,2,A,0,0,D,16,8,5,3,20,22,3,5,1,3,0,0,2.34,1.59
P1,08/02/2021,17:00,Farense,Moreirense,1,2,A,0,1,A,15,6,4,3,19,13,10,1,4,3,0,0,2.32,1.59
P1,08/02/2021,21:00,Belenenses,Guimaraes,1,1,D,1,1,D,10,9,4,4,12,13,4,7,3,2,0,0,2.25,1.64
P1,09/02/2021,15:00,Pacos Ferreira,Portimonense,0,0,D,0,0,D,6,14,1,3,12,9,3,2,2,1,0,0,2.35,1.58
P1,09/02/2021,17:00,Rio Ave,Tondela,2,1,H,0,1,A,6,11,2,5,13,10,2,3,4,2,0,0,2.22,1.66
P1,09/02/2021,19:00,Boavista,Nacional,0,1,A,0,1,A,20,7,2,1,15,23,6,1,2,4,1,0,2.29,1.61
P1,09/02/2021,21:00,Gil Vicente,Sp Lisbon,1,2,A,1,0,H,6,21,2,5,19,6,1,4,4,1,0,0,2.13,1.7
P1,12/02/2021,20:30,Famalicao,Belenenses,0,0,D,0,0,D,8,20,5,11,14,21,4,5,3,4,0,0,2.55,1.5
P1,13/02/2021,20:30,Porto,Boavista,2,2,D,0,2,A,17,4,6,4,14,26,7,2,2,4,0,0,1.69,2.14
P1,13/02/2021,15:30,Nacional,Farense,2,3,A,0,0,D,10,9,4,4,14,16,6,10,4,2,0,0,2.24,1.64
P1,13/02/2021,18:00,Guimaraes,Rio Ave,1,3,A,0,2,A,15,5,7,3,15,17,11,0,2,2,0,0,2.25,1.63
P1,14/02/2021,15:00,Portimonense,Gil Vicente,4,1,H,2,1,H,11,9,4,3,22,13,6,4,2,0,0,0,2.53,1.5
P1,14/02/2021,17:30,Santa Clara,Sp Braga,0,1,A,0,1,A,9,8,2,3,17,18,9,3,3,2,0,0,2.01,1.79
P1,14/02/2021,20:15,Moreirense,Benfica,1,1,D,1,1,D,8,18,3,8,17,15,3,9,2,3,0,0,1.68,2.15
P1,15/02/2021,20:15,Sp Lisbon,Pacos Ferreira,2,0,H,1,0,H,7,7,3,2,27,20,2,4,5,3,0,0,1.92,1.86
P1,16/02/2021,17:45,Tondela,Maritimo,2,1,H,1,1,D,13,5,6,3,22,19,2,1,4,5,0,0,2.26,1.63
P1,17/02/2021,21:45,Guimaraes,Farense,2,2,D,2,1,H,15,8,3,3,14,17,8,4,0,3,0,1,2.07,1.74
P1,19/02/2021,20:30,Boavista,Moreirense,1,0,H,0,0,D,11,8,6,1,14,19,10,5,3,2,0,0,2.45,1.54
P1,20/02/2021,20:30,Sp Lisbon,Portimonense,2,0,H,2,0,H,14,7,7,1,15,19,5,4,0,3,0,0,1.9,1.88
P1,20/02/2021,15:30,Belenenses,Nacional,2,1,H,1,1,D,16,13,4,4,16,12,9,1,3,1,0,0,2.52,1.51
P1,20/02/2021,17:30,Gil Vicente,Santa Clara,1,0,H,0,0,D,10,10,3,1,16,15,6,4,4,3,0,0,2.49,1.52
P1,21/02/2021,15:00,Pacos Ferreira,Guimaraes,2,1,H,1,1,D,8,10,3,3,10,14,3,3,0,2,0,0,2.43,1.55
P1,21/02/2021,15:00,Rio Ave,Famalicao,0,1,A,0,1,A,5,8,1,5,9,20,4,8,1,3,1,0,2.26,1.63
P1,21/02/2021,18:00,Sp Braga,Tondela,4,2,H,3,0,H,19,8,7,3,15,12,8,2,0,2,0,0,1.7,2.14
P1,21/02/2021,20:15,Farense,Benfica,0,0,D,0,0,D,8,15,3,2,18,19,4,7,2,2,0,0,1.68,2.16
P1,22/02/2021,19:00,Maritimo,Porto,1,2,A,1,1,D,12,14,7,6,21,18,3,3,6,2,0,0,1.63,2.25
P1,26/02/2021,20:30,Guimaraes,Boavista,2,1,H,1,1,D,18,7,9,2,26,13,10,1,2,4,0,0,2.24,1.64
