Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
F1,2022-03-13,12:00,Paris SG,Bordeaux,3,0,H,1,0,H,12,15,5,5,4,9,2,4,1,2,0,0,1.36,3.14
F1,2022-03-18,20:00,St Etienne,Troyes,1,1,D,0,1,A,10,8,3,4,13,9,1,4,2,2,0,0,2.27,1.65
F1,2022-03-19,16:00,Lens,Clermont,3,1,H,2,1,H,20,10,7,3,15,12,7,2,1,1,0,0,1.96,1.86
F1,2022-03-19,20:00,Nantes,Lille,0,1,A,0,1,A,11,12,3,4,19,15,7,7,3,4,0,1,2.35,1.6
F1,2022-03-20,19:45,Marseille,Nice,2,1,H,1,0,H,13,9,6,3,12,11,3,2,2,2,0,0,2.1,1.74
F1,2022-03-20,16:05,Reims,Lyon,0,0,D,0,0,D,5,10,2,2,12,13,7,3,0,3,0,0,1.97,1.85
F1,2022-03-20,14:00,Bordeaux,Montpellier,0,2,A,0,2,A,32,7,10,2,18,7,11,4,3,0,0,2,1.87,1.95
F1,2022-03-20,14:00,Lorient,Strasbourg,0,0,D,0,0,D,9,13,2,4,11,18,6,5,2,2,0,0,2.16,1.7
F1,2022-03-20,12:00,Monaco,Paris SG,3,0,H,1,0,H,13,13,8,6,17,10,6,7,3,3,0,0,1.64,2.27
F1,2022-03-20,14:00,Rennes,Metz,6,1,H,3,0,H,21,2,8,1,13,11,10,1,1,2,0,0,1.78,2.05
F1,2022-03-20,14:00,Angers,Brest,1,0,H,1,0,H,9,16,3,2,11,9,6,11,2,1,0,0,2.07,1.76
F1,2022-04-02,16:00,Nice,Rennes,1,1,D,0,0,D,10,13,3,4,12,12,7,11,2,1,0,0,1.96,1.86
F1,2022-04-02,18:00,Lille,Bordeaux,0,0,D,0,0,D,22,2,6,0,13,15,7,2,2,4,0,1,1.76,2.08
F1,2022-04-03,14:00,St Etienne,Marseille,2,4,A,1,1,D,5,15,2,9,14,12,2,9,2,1,0,0,2.07,1.77
F1,2022-04-03,14:00,Troyes,Reims,1,0,H,0,0,D,19,10,5,4,15,11,6,3,1,4,0,1,2.58,1.51
F1,2022-04-03,19:45,Paris SG,Lorient,5,1,H,2,0,H,15,11,7,4,7,14,3,1,2,1,0,0,1.37,3.1
F1,2022-04-03,16:05,Lyon,Angers,3,2,H,1,0,H,15,7,5,4,4,13,9,2,1,1,0,0,1.7,2.17
F1,2022-04-03,14:00,Montpellier,Brest,1,2,A,0,0,D,9,12,3,6,16,14,7,5,2,4,0,0,1.81,2.02
F1,2022-04-03,14:00,Clermont,Nantes,2,3,A,0,1,A,12,9,4,4,10,10,5,6,5,1,1,0,2.32,1.61
F1,2022-04-03,12:00,Strasbourg,Lens,1,0,H,0,0,D,13,13,3,2,8,10,2,6,3,1,0,0,2.08,1.76
F1,2022-04-03,14:00,Metz,Monaco,1,2,A,0,0,D,17,14,4,4,6,9,3,6,0,0,0,0,1.97,1.85
F1,2022-04-08,20:00,Lorient,St Etienne,6,2,H,2,2,D,18,13,12,4,18,18,2,3,2,5,0,1,2.49,1.54
F1,2022-04-09,16:00,Reims,Rennes,2,3,A,0,2,A,15,14,7,8,15,7,2,6,2,0,0,0,2.13,1.72
F1,2022-04-09,20:00,Clermont,Paris SG,1,6,A,1,2,A,10,17,4,10,8,7,2,5,1,1,0,0,1.5,2.58
